,Market,Time,Open,High,Low,Close,Volume,Value,No. Trades,Taker Buy Volume,Taker Buy Value
2595,BTCUSDT,2018-01-02 19:15:00,14930.0,14939.52,14873.19,14897.0,27.016441,402937.04491232,341,13.363835,199358.07967131
2596,BTCUSDT,2018-01-02 19:16:00,14914.0,14978.0,14912.67,14978.0,19.768865,295362.29903312,248,15.582965,232841.42107644
2597,BTCUSDT,2018-01-02 19:17:00,14978.0,14996.0,14971.56,14980.01,22.756666,341062.86766667,348,15.088202,226150.8251926
2598,BTCUSDT,2018-01-02 19:18:00,14996.0,15020.0,14980.0,15020.0,36.96374,554391.38279183,477,32.36625,485466.95507819
2599,BTCUSDT,2018-01-02 19:19:00,15018.5,15123.0,15013.01,15099.99,22.889035,345281.91086669,387,14.914539,225034.1934151
2600,BTCUSDT,2018-01-02 19:20:00,15107.44,15200.01,15059.99,15090.0,57.161616,863636.26193207,622,33.180481,501309.65695767
2601,BTCUSDT,2018-01-02 19:21:00,15090.0,15238.0,15082.0,15192.5,27.089264,410712.02839665,587,15.763015,238895.98901412
2602,BTCUSDT,2018-01-02 19:22:00,15213.6,15302.0,15192.5,15299.99,31.859304,486063.51114053,484,18.397555,280833.20324454
2603,BTCUSDT,2018-01-02 19:23:00,15302.0,15444.06,15300.0,15444.06,27.698523,425876.31035051,425,17.534785,269767.08903317
2604,BTCUSDT,2018-01-02 19:24:00,15425.52,15473.49,15246.4,15247.0,45.553519,700548.41814912,567,19.466426,299577.89909155
2605,BTCUSDT,2018-01-02 19:25:00,15247.0,15340.0,15080.0,15198.42,51.437806,782876.48855718,642,31.777162,484486.89652832
2606,BTCUSDT,2018-01-02 19:26:00,15198.42,15276.23,15140.0,15270.66,51.451354,781469.71811602,473,31.038678,471687.81023057
2607,BTCUSDT,2018-01-02 19:27:00,15250.02,15298.64,15213.18,15221.0,27.837274,424839.52178304,368,10.784242,164681.33296579
2608,BTCUSDT,2018-01-02 19:28:00,15221.0,15280.0,15139.78,15199.99,29.769574,451995.73119425,365,18.271424,277510.10374931
2609,BTCUSDT,2018-01-02 19:29:00,15190.0,15199.99,15099.02,15100.0,27.561871,418345.69756147,291,15.53434,235828.78803959
2610,BTCUSDT,2018-01-02 19:30:00,15100.0,15187.94,15042.52,15043.98,44.449513,671238.81233185,409,24.525474,370634.22306484
2611,BTCUSDT,2018-01-02 19:31:00,15047.75,15099.22,14979.97,15011.17,39.821775,598900.82116927,406,11.420055,171765.14349552
2612,BTCUSDT,2018-01-02 19:32:00,15011.17,15033.53,14760.0,14849.98,59.501752,885230.12390487,597,23.829053,355319.1888067
2613,BTCUSDT,2018-01-02 19:33:00,14850.0,14855.95,14766.16,14813.55,44.573333,660354.66555876,487,18.320378,271582.01924322
2614,BTCUSDT,2018-01-02 19:34:00,14813.55,14820.0,14766.31,14800.0,29.722767,440127.68219464,380,17.141683,253887.62233977
2615,BTCUSDT,2018-01-02 19:35:00,14795.19,14800.0,14766.25,14766.25,24.10895,356448.93282532,255,12.409225,183513.54215959
2616,BTCUSDT,2018-01-02 19:36:00,14766.25,14780.1,14680.0,14750.1,34.762369,512384.78858771,445,16.859405,248524.33744565
2617,BTCUSDT,2018-01-02 19:37:00,14750.1,14980.01,14750.0,14916.53,55.043193,816158.16973873,521,29.806766,442422.84205212
2618,BTCUSDT,2018-01-02 19:38:00,14894.9,14997.03,14874.87,14995.59,32.297331,483014.89025221,377,15.428056,230780.89255976
2619,BTCUSDT,2018-01-02 19:39:00,14995.59,15100.0,14995.59,15056.01,51.032705,766175.03022175,465,38.691595,580857.0118789
2620,BTCUSDT,2018-01-02 19:40:00,15085.99,15107.82,14999.0,15097.95,46.831377,705623.03814927,414,24.209255,364869.21536289
